Event	ID	Name			Wwise Object Path	Notes
	33491128	Play_Cascade			\Default Work Unit\Play_Cascade	
	92581801	Play_Wrong			\Default Work Unit\Play_Wrong	
	147443677	Play_Pluie_Ext			\Default Work Unit\Play_Pluie_Ext	
	258901810	Play_Bassin			\Default Work Unit\Play_Bassin	
	289173991	MakeRainLight			\Default Work Unit\MakeRainLight	
	922352807	Play_Prendre_Module			\Default Work Unit\Play_Prendre_Module	
	1002971580	MakeRainStrong			\Default Work Unit\MakeRainStrong	
	1015332243	Play_Lumiere_Eteint			\Default Work Unit\Play_Lumiere_Eteint	
	1614550972	Play_Poser_Module			\Default Work Unit\Play_Poser_Module	
	2054361038	Play_Table			\Default Work Unit\Play_Table	
	2211386577	Play_Tp_Module			\Default Work Unit\Play_Tp_Module	
	2800623694	Play_Ville			\Default Work Unit\Play_Ville	
	2932040671	Play_Music			\Default Work Unit\Play_Music	
	3548864740	Play_Lumiere_Allume			\Default Work Unit\Play_Lumiere_Allume	
	3806987005	Play_Ascenseur			\Default Work Unit\Play_Ascenseur	
	3892494798	Play_Plante			\Default Work Unit\Play_Plante	
	4120605449	Play_Lumiere_Gresille			\Default Work Unit\Play_Lumiere_Gresille	
	4269863952	Play_Pluie_Toit			\Default Work Unit\Play_Pluie_Toit	

Switch Group	ID	Name			Wwise Object Path	Notes
	346041850	Elevator_Switch			\Default Work Unit\Elevator_Switch	

Switch	ID	Name	Switch Group			Notes
	551396004	Step5_Top	Elevator_Switch			
	624341273	Step0_Bottom	Elevator_Switch			
	1718617337	Step4	Elevator_Switch			
	1718617340	Step1	Elevator_Switch			
	1718617342	Step3	Elevator_Switch			
	1718617343	Step2	Elevator_Switch			

State Group	ID	Name			Wwise Object Path	Notes
	1031434634	State_Pluie			\Default Work Unit\State_Pluie	
	1992488372	State_Music			\Default Work Unit\State_Music	

State	ID	Name	State Group			Notes
	0	None	State_Pluie			
	1935470627	Light	State_Pluie			
	3522403288	Strong	State_Pluie			
	0	None	State_Music			
	2607556080	Menu	State_Music			
	2678230382	Level1	State_Music			
	3037000007	Tuto	State_Music			

Custom State	ID	Name	State Group	Owner		Notes
	682535423	Light	State_Pluie	\Actor-Mixer Hierarchy\Default Work Unit\Ambiance\Ambient\Pluie\Pluie Toit		
	763558913	Light	State_Pluie	\Actor-Mixer Hierarchy\Default Work Unit\Ambiance\Ambient\Pluie\Pluie Ext		
	873953601	Strong	State_Pluie	\Actor-Mixer Hierarchy\Default Work Unit\Ambiance\Ambient\Pluie\Pluie Toit		

Game Parameter	ID	Name			Wwise Object Path	Notes
	405912741	RTPC_Table			\Default Work Unit\RTPC_Table	
	1282175739	Elevator_RTPC			\Default Work Unit\Elevator_RTPC	
	2173016469	RTPC_Distance_Cascade			\Default Work Unit\RTPC_Distance_Cascade	

Effect plug-ins	ID	Name	Type				Notes
	1008402193	Low_Pass_20KHz	Wwise Parametric EQ			
	1852184699	Filtre_Lum_Eteinte	Wwise Parametric EQ			
	1990128658	Room_Medium	Wwise RoomVerb			
	2731461810	Filtre_Toit_Pluie	Wwise Parametric EQ			
	3375630030	Filtre_Lum_Allumee	Wwise Parametric EQ			
	3569414708	EQ_Elevator	Wwise Parametric EQ			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	14445283	TP MODULE	C:\Users\corentin.lavergne\Documents\ProjetsM1\Architect\git\ArchitectWwiseLFS\.cache\Windows\SFX\TP MODULE_E37C7245.wem		\Actor-Mixer Hierarchy\Default Work Unit\TP MODULE		108868
	18659226	VILLE HAUTEUR-001	C:\Users\corentin.lavergne\Documents\ProjetsM1\Architect\git\ArchitectWwiseLFS\.cache\Windows\SFX\VILLE HAUTEUR-001_E37C7245.wem		\Actor-Mixer Hierarchy\Default Work Unit\Ambiance\Ambient\Ville\VilleHauteur\VILLE HAUTEUR-001		409092
	57007878	LUMIERE ETEINTE	C:\Users\corentin.lavergne\Documents\ProjetsM1\Architect\git\ArchitectWwiseLFS\.cache\Windows\SFX\LUMIERE ETEINTE _E37C7245.wem		\Actor-Mixer Hierarchy\Default Work Unit\LUMIERE ETEINTE		50639
	80041516	TAP ASCENSEUR-005	C:\Users\corentin.lavergne\Documents\ProjetsM1\Architect\git\ArchitectWwiseLFS\.cache\Windows\SFX\TAP ASCENSEUR-005_E37C7245.wem		\Actor-Mixer Hierarchy\Default Work Unit\Ascenseur\Switch_Ascenseur\AscenseurEtage04\TAP ASCENSEUR-005		8785
	101783780	LUMIERE ALLUME02	C:\Users\corentin.lavergne\Documents\ProjetsM1\Architect\git\ArchitectWwiseLFS\.cache\Windows\SFX\LUMIERE ALLUME02_E37C7245.wem		\Actor-Mixer Hierarchy\Default Work Unit\Lumière\LUMIERE ALLUME02		47733
	145130390	PLANTE-002	C:\Users\corentin.lavergne\Documents\ProjetsM1\Architect\git\ArchitectWwiseLFS\.cache\Windows\SFX\PLANTE-002_8E09B74F.wem		\Actor-Mixer Hierarchy\Default Work Unit\Props\Plante\PLANTE-002		54735
	175999245	NappeA2	C:\Users\corentin.lavergne\Documents\ProjetsM1\Architect\git\ArchitectWwiseLFS\.cache\Windows\SFX\NappeA2_592D8723.wem		\Interactive Music Hierarchy\MusicWorkUnit\Navigation\Menu\NappeA2\NappeA2		842018
	185844298	CRAN ASCENSEUR-005	C:\Users\corentin.lavergne\Documents\ProjetsM1\Architect\git\ArchitectWwiseLFS\.cache\Windows\SFX\CRAN ASCENSEUR-005_E37C7245.wem		\Actor-Mixer Hierarchy\Default Work Unit\Ascenseur\Switch_Ascenseur\AscenseurEtage04\CRAN ASCENSEUR-005		6703
	189967105	NappeB4	C:\Users\corentin.lavergne\Documents\ProjetsM1\Architect\git\ArchitectWwiseLFS\.cache\Windows\SFX\NappeB4_592D8723.wem		\Interactive Music Hierarchy\MusicWorkUnit\Navigation\Menu\NappeB4\NappeB4		713725
	203234394	LUMIERE ALLUME04	C:\Users\corentin.lavergne\Documents\ProjetsM1\Architect\git\ArchitectWwiseLFS\.cache\Windows\SFX\LUMIERE ALLUME04_E37C7245.wem		\Actor-Mixer Hierarchy\Default Work Unit\Lumière\LUMIERE ALLUME04		44644
	214254575	POSER MODULE	C:\Users\corentin.lavergne\Documents\ProjetsM1\Architect\git\ArchitectWwiseLFS\.cache\Windows\SFX\POSER MODULE_E37C7245.wem		\Actor-Mixer Hierarchy\Default Work Unit\Props\Modules\POSER MODULE		4423
